nombre,familia,exp_name,method,time,resultado,n,m,resultado_exp,first,dif,tabu,v,l,gap
eil51,eil,exp_iter,ts,2.397814512252808,426,51,1326,429,1,3,100,40,601,0.0070422535211267
eil51,eil,exp_iter,bl,0.0653769969940185,426,51,1326,450,1,24,0,0,601,0.056338028169014
eil51,eil,exp_iter,ts,2.861515045166016,426,51,1326,429,1,3,100,40,701,0.0070422535211267
eil51,eil,exp_iter,bl,0.0784966945648193,426,51,1326,450,1,24,0,0,701,0.056338028169014
eil51,eil,exp_iter,ts,3.344154357910156,426,51,1326,429,1,3,100,40,801,0.0070422535211267
eil51,eil,exp_iter,bl,0.0967540740966796,426,51,1326,450,1,24,0,0,801,0.056338028169014
eil51,eil,exp_iter,ts,3.752079963684082,426,51,1326,429,1,3,100,40,901,0.0070422535211267
eil51,eil,exp_iter,bl,0.0917329788208007,426,51,1326,450,1,24,0,0,901,0.056338028169014
eil51,eil,exp_iter,ts,4.2904229164123535,426,51,1326,429,1,3,100,40,1001,0.0070422535211267
eil51,eil,exp_iter,bl,0.1051514148712158,426,51,1326,450,1,24,0,0,1001,0.056338028169014
eil51,eil,exp_iter,ts,4.532100677490234,426,51,1326,429,1,3,100,40,1101,0.0070422535211267
eil51,eil,exp_iter,bl,0.1311631202697754,426,51,1326,450,1,24,0,0,1101,0.056338028169014
eil51,eil,exp_iter,ts,5.087733507156372,426,51,1326,429,1,3,100,40,1201,0.0070422535211267
eil51,eil,exp_iter,bl,0.1189842224121093,426,51,1326,450,1,24,0,0,1201,0.056338028169014
eil51,eil,exp_iter,ts,5.562074184417725,426,51,1326,429,1,3,100,40,1301,0.0070422535211267
eil51,eil,exp_iter,bl,0.1216540336608886,426,51,1326,450,1,24,0,0,1301,0.056338028169014
eil51,eil,exp_iter,ts,5.941884279251099,426,51,1326,429,1,3,100,40,1401,0.0070422535211267
eil51,eil,exp_iter,bl,0.1391792297363281,426,51,1326,450,1,24,0,0,1401,0.056338028169014
eil51,eil,exp_iter,ts,6.51677942276001,426,51,1326,429,1,3,100,40,1501,0.0070422535211267
eil51,eil,exp_iter,bl,0.1498091220855713,426,51,1326,450,1,24,0,0,1501,0.056338028169014
att48,att,exp_tabu,ts,0.021777868270874,10628,48,1176,12312,1,1684,20,40,1,0.1584493789988709
att48,att,exp_tabu,ts,0.2073972225189209,10628,48,1176,11308,1,680,20,40,101,0.0639819345126082
att48,att,exp_tabu,ts,0.344759464263916,10628,48,1176,11308,1,680,20,40,201,0.0639819345126082
att48,att,exp_tabu,ts,0.5245099067687988,10628,48,1176,11308,1,680,20,40,301,0.0639819345126082
att48,att,exp_tabu,ts,0.8155636787414551,10628,48,1176,11308,1,680,20,40,401,0.0639819345126082
att48,att,exp_tabu,ts,0.9559447765350342,10628,48,1176,11308,1,680,20,40,501,0.0639819345126082
att48,att,exp_tabu,ts,1.0633482933044434,10628,48,1176,11308,1,680,20,40,601,0.0639819345126082
att48,att,exp_tabu,ts,1.1453776359558103,10628,48,1176,11308,1,680,20,40,701,0.0639819345126082
att48,att,exp_tabu,ts,1.3805265426635742,10628,48,1176,11308,1,680,20,40,801,0.0639819345126082
att48,att,exp_tabu,ts,1.607686996459961,10628,48,1176,11308,1,680,20,40,901,0.0639819345126082
att48,att,exp_tabu,ts,1.862255811691284,10628,48,1176,11308,1,680,20,40,1001,0.0639819345126082
att48,att,exp_tabu,ts,1.9972448348999023,10628,48,1176,11308,1,680,20,40,1101,0.0639819345126082
att48,att,exp_tabu,ts,2.183964252471924,10628,48,1176,11308,1,680,20,40,1201,0.0639819345126082
att48,att,exp_tabu,ts,2.100053310394287,10628,48,1176,11308,1,680,20,40,1301,0.0639819345126082
att48,att,exp_tabu,ts,2.4361071586608887,10628,48,1176,11308,1,680,20,40,1401,0.0639819345126082
att48,att,exp_tabu,ts,2.6770288944244385,10628,48,1176,11308,1,680,20,40,1501,0.0639819345126082
att48,att,exp_tabu,ts,0.0270907878875732,10628,48,1176,12312,1,1684,40,40,1,0.1584493789988709
att48,att,exp_tabu,ts,0.2479903697967529,10628,48,1176,11058,1,430,40,40,101,0.0404591644712081
att48,att,exp_tabu,ts,0.4788799285888672,10628,48,1176,11058,1,430,40,40,201,0.0404591644712081
att48,att,exp_tabu,ts,0.6460328102111816,10628,48,1176,11058,1,430,40,40,301,0.0404591644712081
att48,att,exp_tabu,ts,0.8724651336669922,10628,48,1176,11058,1,430,40,40,401,0.0404591644712081
att48,att,exp_tabu,ts,1.136913776397705,10628,48,1176,11058,1,430,40,40,501,0.0404591644712081
att48,att,exp_tabu,ts,1.311082363128662,10628,48,1176,11058,1,430,40,40,601,0.0404591644712081
att48,att,exp_tabu,ts,1.4404301643371582,10628,48,1176,11058,1,430,40,40,701,0.0404591644712081
att48,att,exp_tabu,ts,1.738570213317871,10628,48,1176,11058,1,430,40,40,801,0.0404591644712081
att48,att,exp_tabu,ts,2.1209120750427246,10628,48,1176,11058,1,430,40,40,901,0.0404591644712081
att48,att,exp_tabu,ts,2.1190171241760254,10628,48,1176,11058,1,430,40,40,1001,0.0404591644712081
att48,att,exp_tabu,ts,2.386471033096313,10628,48,1176,11058,1,430,40,40,1101,0.0404591644712081
att48,att,exp_tabu,ts,2.4218640327453613,10628,48,1176,11058,1,430,40,40,1201,0.0404591644712081
att48,att,exp_tabu,ts,2.83616590499878,10628,48,1176,11058,1,430,40,40,1301,0.0404591644712081
att48,att,exp_tabu,ts,3.054774761199951,10628,48,1176,11058,1,430,40,40,1401,0.0404591644712081
att48,att,exp_tabu,ts,3.159087657928467,10628,48,1176,11058,1,430,40,40,1501,0.0404591644712081
att48,att,exp_tabu,ts,0.0244665145874023,10628,48,1176,12312,1,1684,60,40,1,0.1584493789988709
att48,att,exp_tabu,ts,0.2852468490600586,10628,48,1176,11058,1,430,60,40,101,0.0404591644712081
att48,att,exp_tabu,ts,0.546166181564331,10628,48,1176,10979,1,351,60,40,201,0.0330259691381257
att48,att,exp_tabu,ts,0.7633934020996094,10628,48,1176,10916,1,288,60,40,301,0.0270982310876928
att48,att,exp_tabu,ts,1.045848369598389,10628,48,1176,10916,1,288,60,40,401,0.0270982310876928
